City ID,City,Country Code,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
1490256,Talnakh,RU,69.4865,88.3972,-18.36,86,100,3.36
3374210,São Filipe,CV,14.8961,-24.4956,69.1,79,50,8.9
1855342,Nishihara,JP,26.1842,127.7558,71.46,46,40,11.5
1498161,Muzhi,RU,65.3667,64.6667,-22.0,81,83,4.63
2025489,Chernigovka,RU,44.3389,132.5728,30.54,85,0,7.18
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,78.8,34,0,20.71
3839307,Rawson,AR,-43.3002,-65.1023,82.9,28,73,27.67
2270385,Camacha,PT,33.0833,-16.3333,59.0,67,40,12.66
556268,Ostrovnoy,RU,68.0531,39.5131,18.73,94,100,15.99
2644204,Livingston,GB,55.9029,-3.5226,45.18,87,90,24.16
5870133,Nome,US,64.5011,-165.4064,19.4,86,90,13.8
3385980,Tucumã,BR,-0.1833,-50.05,74.01,95,100,4.25
1648636,Bitung,ID,1.4451,125.1824,86.0,70,40,4.61
1489822,Tegul'det,RU,57.3064,88.1667,12.43,93,78,10.42
3904906,Santa Cruz de la Sierra,BO,-17.8,-63.1667,73.4,100,0,4.61
2123979,Kuril'sk,RU,45.2333,147.8833,33.06,96,75,9.57
5866063,Kenai,US,60.5544,-151.2583,30.13,86,90,9.22
2132606,Samarai,PG,-10.6167,150.6667,83.95,69,89,8.97
988290,Komatipoort,ZA,-25.4332,31.9548,73.9,69,0,5.75
2398073,Mouila,GA,-1.8685,11.0559,74.35,93,69,0.6
625144,Minsk,BY,53.9,27.5667,15.4,79,0,4.47
2037391,Fengzhen,CN,40.4394,113.1536,46.04,56,98,7.4
305681,Kumluca,TR,36.3703,30.2869,56.93,47,93,8.32
2524371,Locri,IT,38.2414,16.2623,50.68,88,90,6.91
4014603,Chalchihuites,MX,23.4833,-103.8833,57.15,31,61,6.31
3408368,Acaraú,BR,-2.8856,-40.12,78.93,84,100,10.25
2074865,Carnarvon,AU,-24.8667,113.6333,82.4,69,0,8.05
467479,Yenotayevka,RU,47.2456,47.0281,30.0,65,65,1.01
3430545,Morón,AR,-34.6534,-58.6198,70.88,74,0,4.0
2019951,Mirny,RU,62.5353,113.9611,4.69,90,100,19.35
1586443,Ca Mau,VN,9.1769,105.15,84.85,59,73,10.65
3146487,Raudeberg,NO,61.9875,5.1352,43.0,45,40,11.86
2194098,Ahipara,NZ,-35.1667,173.1667,69.21,66,99,13.44
1061335,Mananjary,MG,-21.2167,48.3333,75.52,82,35,1.9
986717,Kruisfontein,ZA,-34.0033,24.7314,67.1,49,4,7.14
714548,Tótkomlós,HU,46.4167,20.7333,32.0,55,0,6.91
2083537,Wewak,PG,-3.5534,143.6268,83.71,69,78,5.01
2025456,Chernyshevskiy,RU,63.0128,112.4714,2.32,91,100,17.98
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,48.2,61,100,6.91
3979216,Camalú,MX,30.85,-116.0667,53.01,50,0,5.99
2527087,Tiznit Province,MA,29.5833,-9.5,49.14,80,17,3.53
